Temperature,pH,LobsterWeight,feed_amount
23.00,5.00,100.00,3.32
23.10,5.00,100.00,3.37
23.20,5.00,100.00,3.41
23.30,5.00,100.00,3.46
23.40,5.00,100.00,3.50
23.50,5.00,100.00,3.54
23.60,5.00,100.00,3.58
23.70,5.00,100.00,3.62
23.80,5.00,100.00,3.65
23.90,5.00,100.00,3.69
24.00,5.00,100.00,3.72
24.10,5.00,100.00,3.75
24.20,5.00,100.00,3.78
24.30,5.00,100.00,3.81
24.40,5.00,100.00,3.84
24.50,5.00,100.00,3.87
24.60,5.00,100.00,3.90
24.70,5.00,100.00,3.92
24.80,5.00,100.00,3.95
24.90,5.00,100.00,3.97
25.00,5.00,100.00,4.00
29.00,5.00,100.00,4.00
29.10,5.00,100.00,3.97
29.20,5.00,100.00,3.95
29.30,5.00,100.00,3.92
29.40,5.00,100.00,3.90
29.50,5.00,100.00,3.87
29.60,5.00,100.00,3.84
29.70,5.00,100.00,3.81
29.80,5.00,100.00,3.78
29.90,5.00,100.00,3.75
30.00,5.00,100.00,3.72
30.10,5.00,100.00,3.69
30.20,5.00,100.00,3.65
30.30,5.00,100.00,3.62
30.40,5.00,100.00,3.58
30.50,5.00,100.00,3.54
30.60,5.00,100.00,3.50
30.70,5.00,100.00,3.46
30.80,5.00,100.00,3.41
30.90,5.00,100.00,3.37
31.00,5.00,100.00,3.32
23.00,5.10,100.00,3.38
23.10,5.10,100.00,3.43
23.20,5.10,100.00,3.48
23.30,5.10,100.00,3.52
23.40,5.10,100.00,3.56
23.50,5.10,100.00,3.60
23.60,5.10,100.00,3.63
23.70,5.10,100.00,3.67
23.80,5.10,100.00,3.70
23.90,5.10,100.00,3.73
24.00,5.10,100.00,3.77
24.10,5.10,100.00,3.80
24.20,5.10,100.00,3.82
24.30,5.10,100.00,3.85
24.40,5.10,100.00,3.88
24.50,5.10,100.00,3.91
24.60,5.10,100.00,3.93
24.70,5.10,100.00,3.96
24.80,5.10,100.00,3.98
24.90,5.10,100.00,4.01
25.00,5.10,100.00,4.03
29.00,5.10,100.00,4.03
29.10,5.10,100.00,4.01
29.20,5.10,100.00,3.98
29.30,5.10,100.00,3.96
29.40,5.10,100.00,3.93
29.50,5.10,100.00,3.91
29.60,5.10,100.00,3.88
29.70,5.10,100.00,3.85
29.80,5.10,100.00,3.82
29.90,5.10,100.00,3.80
30.00,5.10,100.00,3.77
30.10,5.10,100.00,3.73
30.20,5.10,100.00,3.70
30.30,5.10,100.00,3.67
30.40,5.10,100.00,3.63
30.50,5.10,100.00,3.60
30.60,5.10,100.00,3.56
30.70,5.10,100.00,3.52
30.80,5.10,100.00,3.48
30.90,5.10,100.00,3.43
31.00,5.10,100.00,3.38
23.00,5.20,100.00,3.44
23.10,5.20,100.00,3.49
23.20,5.20,100.00,3.54
23.30,5.20,100.00,3.58
23.40,5.20,100.00,3.62
23.50,5.20,100.00,3.65
23.60,5.20,100.00,3.69
23.70,5.20,100.00,3.72
23.80,5.20,100.00,3.75
23.90,5.20,100.00,3.78
24.00,5.20,100.00,3.81
24.10,5.20,100.00,3.84
24.20,5.20,100.00,3.86
24.30,5.20,100.00,3.89
24.40,5.20,100.00,3.92
24.50,5.20,100.00,3.94
24.60,5.20,100.00,3.97
24.70,5.20,100.00,3.99
24.80,5.20,100.00,4.02
24.90,5.20,100.00,4.04
25.00,5.20,100.00,4.07
29.00,5.20,100.00,4.07
29.10,5.20,100.00,4.04
29.20,5.20,100.00,4.02
29.30,5.20,100.00,3.99
29.40,5.20,100.00,3.97
29.50,5.20,100.00,3.94
29.60,5.20,100.00,3.92
29.70,5.20,100.00,3.89
29.80,5.20,100.00,3.86
29.90,5.20,100.00,3.84
30.00,5.20,100.00,3.81
30.10,5.20,100.00,3.78
30.20,5.20,100.00,3.75
30.30,5.20,100.00,3.72
30.40,5.20,100.00,3.69
30.50,5.20,100.00,3.65
30.60,5.20,100.00,3.62
30.70,5.20,100.00,3.58
30.80,5.20,100.00,3.54
30.90,5.20,100.00,3.49
31.00,5.20,100.00,3.44
23.00,5.30,100.00,3.50
23.10,5.30,100.00,3.55
23.20,5.30,100.00,3.59
23.30,5.30,100.00,3.63
23.40,5.30,100.00,3.67
23.50,5.30,100.00,3.70
23.60,5.30,100.00,3.73
23.70,5.30,100.00,3.76
23.80,5.30,100.00,3.79
23.90,5.30,100.00,3.82
24.00,5.30,100.00,3.85
24.10,5.30,100.00,3.88
24.20,5.30,100.00,3.90
24.30,5.30,100.00,3.93
24.40,5.30,100.00,3.95
24.50,5.30,100.00,3.98
24.60,5.30,100.00,4.00
24.70,5.30,100.00,4.02
24.80,5.30,100.00,4.05
24.90,5.30,100.00,4.08
25.00,5.30,100.00,4.10
29.00,5.30,100.00,4.10
29.10,5.30,100.00,4.08
29.20,5.30,100.00,4.05
29.30,5.30,100.00,4.02
29.40,5.30,100.00,4.00
29.50,5.30,100.00,3.98
29.60,5.30,100.00,3.95
29.70,5.30,100.00,3.93
29.80,5.30,100.00,3.90
29.90,5.30,100.00,3.88
30.00,5.30,100.00,3.85
30.10,5.30,100.00,3.82
30.20,5.30,100.00,3.79
30.30,5.30,100.00,3.76
30.40,5.30,100.00,3.73
30.50,5.30,100.00,3.70
30.60,5.30,100.00,3.67
30.70,5.30,100.00,3.63
30.80,5.30,100.00,3.59
30.90,5.30,100.00,3.55
31.00,5.30,100.00,3.50
23.00,5.40,100.00,3.55
23.10,5.40,100.00,3.60
23.20,5.40,100.00,3.64
23.30,5.40,100.00,3.68
23.40,5.40,100.00,3.71
23.50,5.40,100.00,3.75
23.60,5.40,100.00,3.78
23.70,5.40,100.00,3.81
23.80,5.40,100.00,3.83
23.90,5.40,100.00,3.86
24.00,5.40,100.00,3.89
24.10,5.40,100.00,3.91
24.20,5.40,100.00,3.94
24.30,5.40,100.00,3.96
24.40,5.40,100.00,3.98
24.50,5.40,100.00,4.01
24.60,5.40,100.00,4.03
24.70,5.40,100.00,4.06
24.80,5.40,100.00,4.08
24.90,5.40,100.00,4.11
25.00,5.40,100.00,4.14
29.00,5.40,100.00,4.14
29.10,5.40,100.00,4.11
29.20,5.40,100.00,4.08
29.30,5.40,100.00,4.06
29.40,5.40,100.00,4.03
29.50,5.40,100.00,4.01
29.60,5.40,100.00,3.98
29.70,5.40,100.00,3.96
29.80,5.40,100.00,3.94
29.90,5.40,100.00,3.91
30.00,5.40,100.00,3.89
30.10,5.40,100.00,3.86
30.20,5.40,100.00,3.83
30.30,5.40,100.00,3.81
30.40,5.40,100.00,3.78
30.50,5.40,100.00,3.75
30.60,5.40,100.00,3.71
30.70,5.40,100.00,3.68
30.80,5.40,100.00,3.64
30.90,5.40,100.00,3.60
31.00,5.40,100.00,3.55
23.00,5.50,100.00,3.60
23.10,5.50,100.00,3.64
23.20,5.50,100.00,3.68
23.30,5.50,100.00,3.72
23.40,5.50,100.00,3.75
23.50,5.50,100.00,3.79
23.60,5.50,100.00,3.82
23.70,5.50,100.00,3.85
23.80,5.50,100.00,3.87
23.90,5.50,100.00,3.90
24.00,5.50,100.00,3.92
24.10,5.50,100.00,3.95
24.20,5.50,100.00,3.97
24.30,5.50,100.00,3.99
24.40,5.50,100.00,4.02
24.50,5.50,100.00,4.04
24.60,5.50,100.00,4.06
24.70,5.50,100.00,4.09
24.80,5.50,100.00,4.12
24.90,5.50,100.00,4.15
25.00,5.50,100.00,4.18
29.00,5.50,100.00,4.18
29.10,5.50,100.00,4.15
29.20,5.50,100.00,4.12
29.30,5.50,100.00,4.09
29.40,5.50,100.00,4.06
29.50,5.50,100.00,4.04
29.60,5.50,100.00,4.02
29.70,5.50,100.00,3.99
29.80,5.50,100.00,3.97
29.90,5.50,100.00,3.95
30.00,5.50,100.00,3.92
30.10,5.50,100.00,3.90
30.20,5.50,100.00,3.87
30.30,5.50,100.00,3.85
30.40,5.50,100.00,3.82
30.50,5.50,100.00,3.79
30.60,5.50,100.00,3.75
30.70,5.50,100.00,3.72
30.80,5.50,100.00,3.68
30.90,5.50,100.00,3.64
31.00,5.50,100.00,3.60
23.00,5.60,100.00,3.65
23.10,5.60,100.00,3.69
23.20,5.60,100.00,3.73
23.30,5.60,100.00,3.76
23.40,5.60,100.00,3.79
23.50,5.60,100.00,3.82
23.60,5.60,100.00,3.85
23.70,5.60,100.00,3.88
23.80,5.60,100.00,3.91
23.90,5.60,100.00,3.93
24.00,5.60,100.00,3.95
24.10,5.60,100.00,3.98
24.20,5.60,100.00,4.00
24.30,5.60,100.00,4.02
24.40,5.60,100.00,4.05
24.50,5.60,100.00,4.07
24.60,5.60,100.00,4.10
24.70,5.60,100.00,4.13
24.80,5.60,100.00,4.16
24.90,5.60,100.00,4.19
25.00,5.60,100.00,4.22
29.00,5.60,100.00,4.22
29.10,5.60,100.00,4.19
29.20,5.60,100.00,4.16
29.30,5.60,100.00,4.13
29.40,5.60,100.00,4.10
29.50,5.60,100.00,4.07
29.60,5.60,100.00,4.05
29.70,5.60,100.00,4.02
29.80,5.60,100.00,4.00
29.90,5.60,100.00,3.98
30.00,5.60,100.00,3.95
30.10,5.60,100.00,3.93
30.20,5.60,100.00,3.91
30.30,5.60,100.00,3.88
30.40,5.60,100.00,3.85
30.50,5.60,100.00,3.82
30.60,5.60,100.00,3.79
30.70,5.60,100.00,3.76
30.80,5.60,100.00,3.73
30.90,5.60,100.00,3.69
31.00,5.60,100.00,3.65
23.00,5.70,100.00,3.70
23.10,5.70,100.00,3.73
23.20,5.70,100.00,3.77
23.30,5.70,100.00,3.80
23.40,5.70,100.00,3.83
23.50,5.70,100.00,3.86
23.60,5.70,100.00,3.89
23.70,5.70,100.00,3.91
23.80,5.70,100.00,3.94
23.90,5.70,100.00,3.96
24.00,5.70,100.00,3.99
24.10,5.70,100.00,4.01
24.20,5.70,100.00,4.03
24.30,5.70,100.00,4.05
24.40,5.70,100.00,4.08
24.50,5.70,100.00,4.11
24.60,5.70,100.00,4.13
24.70,5.70,100.00,4.16
24.80,5.70,100.00,4.19
24.90,5.70,100.00,4.23
25.00,5.70,100.00,4.26
29.00,5.70,100.00,4.26
29.10,5.70,100.00,4.23
29.20,5.70,100.00,4.19
29.30,5.70,100.00,4.16
29.40,5.70,100.00,4.13
29.50,5.70,100.00,4.11
29.60,5.70,100.00,4.08
29.70,5.70,100.00,4.05
29.80,5.70,100.00,4.03
29.90,5.70,100.00,4.01
30.00,5.70,100.00,3.99
30.10,5.70,100.00,3.96
30.20,5.70,100.00,3.94
30.30,5.70,100.00,3.91
30.40,5.70,100.00,3.89
30.50,5.70,100.00,3.86
30.60,5.70,100.00,3.83
30.70,5.70,100.00,3.80
30.80,5.70,100.00,3.77
30.90,5.70,100.00,3.73
31.00,5.70,100.00,3.70
23.00,5.80,100.00,3.74
23.10,5.80,100.00,3.77
23.20,5.80,100.00,3.81
23.30,5.80,100.00,3.84
23.40,5.80,100.00,3.87
23.50,5.80,100.00,3.89
23.60,5.80,100.00,3.92
23.70,5.80,100.00,3.95
23.80,5.80,100.00,3.97
23.90,5.80,100.00,3.99
24.00,5.80,100.00,4.01
24.10,5.80,100.00,4.04
24.20,5.80,100.00,4.06
24.30,5.80,100.00,4.09
24.40,5.80,100.00,4.11
24.50,5.80,100.00,4.14
24.60,5.80,100.00,4.17
24.70,5.80,100.00,4.20
24.80,5.80,100.00,4.23
24.90,5.80,100.00,4.27
25.00,5.80,100.00,4.30
29.00,5.80,100.00,4.30
29.10,5.80,100.00,4.27
29.20,5.80,100.00,4.23
29.30,5.80,100.00,4.20
29.40,5.80,100.00,4.17
29.50,5.80,100.00,4.14
29.60,5.80,100.00,4.11
29.70,5.80,100.00,4.09
29.80,5.80,100.00,4.06
29.90,5.80,100.00,4.04
30.00,5.80,100.00,4.01
30.10,5.80,100.00,3.99
30.20,5.80,100.00,3.97
30.30,5.80,100.00,3.95
30.40,5.80,100.00,3.92
30.50,5.80,100.00,3.89
30.60,5.80,100.00,3.87
30.70,5.80,100.00,3.84
30.80,5.80,100.00,3.81
30.90,5.80,100.00,3.77
31.00,5.80,100.00,3.74
23.00,5.90,100.00,3.78
23.10,5.90,100.00,3.81
23.20,5.90,100.00,3.84
23.30,5.90,100.00,3.87
23.40,5.90,100.00,3.90
23.50,5.90,100.00,3.93
23.60,5.90,100.00,3.95
23.70,5.90,100.00,3.98
23.80,5.90,100.00,4.00
23.90,5.90,100.00,4.02
24.00,5.90,100.00,4.05
24.10,5.90,100.00,4.07
24.20,5.90,100.00,4.09
24.30,5.90,100.00,4.12
24.40,5.90,100.00,4.15
24.50,5.90,100.00,4.18
24.60,5.90,100.00,4.21
24.70,5.90,100.00,4.24
24.80,5.90,100.00,4.27
24.90,5.90,100.00,4.31
25.00,5.90,100.00,4.35
29.00,5.90,100.00,4.35
29.10,5.90,100.00,4.31
29.20,5.90,100.00,4.27
29.30,5.90,100.00,4.24
29.40,5.90,100.00,4.21
29.50,5.90,100.00,4.18
29.60,5.90,100.00,4.15
29.70,5.90,100.00,4.12
29.80,5.90,100.00,4.09
29.90,5.90,100.00,4.07
30.00,5.90,100.00,4.05
30.10,5.90,100.00,4.02
30.20,5.90,100.00,4.00
30.30,5.90,100.00,3.98
30.40,5.90,100.00,3.95
30.50,5.90,100.00,3.93
30.60,5.90,100.00,3.90
30.70,5.90,100.00,3.87
30.80,5.90,100.00,3.84
30.90,5.90,100.00,3.81
31.00,5.90,100.00,3.78
23.00,6.00,100.00,3.82
23.10,6.00,100.00,3.85
23.20,6.00,100.00,3.88
23.30,6.00,100.00,3.91
23.40,6.00,100.00,3.94
23.50,6.00,100.00,3.96
23.60,6.00,100.00,3.98
23.70,6.00,100.00,4.01
23.80,6.00,100.00,4.03
23.90,6.00,100.00,4.05
24.00,6.00,100.00,4.08
24.10,6.00,100.00,4.10
24.20,6.00,100.00,4.13
24.30,6.00,100.00,4.15
24.40,6.00,100.00,4.18
24.50,6.00,100.00,4.21
24.60,6.00,100.00,4.25
24.70,6.00,100.00,4.28
24.80,6.00,100.00,4.32
24.90,6.00,100.00,4.36
25.00,6.00,100.00,4.40
29.00,6.00,100.00,4.40
29.10,6.00,100.00,4.36
29.20,6.00,100.00,4.32
29.30,6.00,100.00,4.28
29.40,6.00,100.00,4.25
29.50,6.00,100.00,4.21
29.60,6.00,100.00,4.18
29.70,6.00,100.00,4.15
29.80,6.00,100.00,4.13
29.90,6.00,100.00,4.10
30.00,6.00,100.00,4.08
30.10,6.00,100.00,4.05
30.20,6.00,100.00,4.03
30.30,6.00,100.00,4.01
30.40,6.00,100.00,3.98
30.50,6.00,100.00,3.96
30.60,6.00,100.00,3.94
30.70,6.00,100.00,3.91
30.80,6.00,100.00,3.88
30.90,6.00,100.00,3.85
31.00,6.00,100.00,3.82
23.00,6.10,100.00,3.86
23.10,6.10,100.00,3.89
23.20,6.10,100.00,3.92
23.30,6.10,100.00,3.94
23.40,6.10,100.00,3.97
23.50,6.10,100.00,3.99
23.60,6.10,100.00,4.02
23.70,6.10,100.00,4.04
23.80,6.10,100.00,4.06
23.90,6.10,100.00,4.09
24.00,6.10,100.00,4.11
24.10,6.10,100.00,4.14
24.20,6.10,100.00,4.17
24.30,6.10,100.00,4.19
24.40,6.10,100.00,4.22
24.50,6.10,100.00,4.25
24.60,6.10,100.00,4.29
24.70,6.10,100.00,4.32
24.80,6.10,100.00,4.36
24.90,6.10,100.00,4.40
25.00,6.10,100.00,4.45
29.00,6.10,100.00,4.45
29.10,6.10,100.00,4.40
29.20,6.10,100.00,4.36
29.30,6.10,100.00,4.32
29.40,6.10,100.00,4.29
29.50,6.10,100.00,4.25
29.60,6.10,100.00,4.22
29.70,6.10,100.00,4.19
29.80,6.10,100.00,4.17
29.90,6.10,100.00,4.14
30.00,6.10,100.00,4.11
30.10,6.10,100.00,4.09
30.20,6.10,100.00,4.06
30.30,6.10,100.00,4.04
30.40,6.10,100.00,4.02
30.50,6.10,100.00,3.99
30.60,6.10,100.00,3.97
30.70,6.10,100.00,3.94
30.80,6.10,100.00,3.92
30.90,6.10,100.00,3.89
31.00,6.10,100.00,3.86
23.00,6.20,100.00,3.90
23.10,6.20,100.00,3.92
23.20,6.20,100.00,3.95
23.30,6.20,100.00,3.98
23.40,6.20,100.00,4.00
23.50,6.20,100.00,4.02
23.60,6.20,100.00,4.05
23.70,6.20,100.00,4.07
23.80,6.20,100.00,4.10
23.90,6.20,100.00,4.12
24.00,6.20,100.00,4.15
24.10,6.20,100.00,4.18
24.20,6.20,100.00,4.21
24.30,6.20,100.00,4.24
24.40,6.20,100.00,4.27
24.50,6.20,100.00,4.30
24.60,6.20,100.00,4.33
24.70,6.20,100.00,4.37
24.80,6.20,100.00,4.41
24.90,6.20,100.00,4.45
25.00,6.20,100.00,4.50
29.00,6.20,100.00,4.50
29.10,6.20,100.00,4.45
29.20,6.20,100.00,4.41
29.30,6.20,100.00,4.37
29.40,6.20,100.00,4.33
29.50,6.20,100.00,4.30
29.60,6.20,100.00,4.27
29.70,6.20,100.00,4.24
29.80,6.20,100.00,4.21
29.90,6.20,100.00,4.18
30.00,6.20,100.00,4.15
30.10,6.20,100.00,4.12
30.20,6.20,100.00,4.10
30.30,6.20,100.00,4.07
30.40,6.20,100.00,4.05
30.50,6.20,100.00,4.02
30.60,6.20,100.00,4.00
30.70,6.20,100.00,3.98
30.80,6.20,100.00,3.95
30.90,6.20,100.00,3.92
31.00,6.20,100.00,3.90
23.00,6.30,100.00,3.93
23.10,6.30,100.00,3.96
23.20,6.30,100.00,3.98
23.30,6.30,100.00,4.01
23.40,6.30,100.00,4.03
23.50,6.30,100.00,4.06
23.60,6.30,100.00,4.08
23.70,6.30,100.00,4.11
23.80,6.30,100.00,4.14
23.90,6.30,100.00,4.16
24.00,6.30,100.00,4.19
24.10,6.30,100.00,4.22
24.20,6.30,100.00,4.25
24.30,6.30,100.00,4.28
24.40,6.30,100.00,4.32
24.50,6.30,100.00,4.35
24.60,6.30,100.00,4.38
24.70,6.30,100.00,4.42
24.80,6.30,100.00,4.46
24.90,6.30,100.00,4.51
25.00,6.30,100.00,4.56
29.00,6.30,100.00,4.56
29.10,6.30,100.00,4.51
29.20,6.30,100.00,4.46
29.30,6.30,100.00,4.42
29.40,6.30,100.00,4.38
29.50,6.30,100.00,4.35
29.60,6.30,100.00,4.32
29.70,6.30,100.00,4.28
29.80,6.30,100.00,4.25
29.90,6.30,100.00,4.22
30.00,6.30,100.00,4.19
30.10,6.30,100.00,4.16
30.20,6.30,100.00,4.14
30.30,6.30,100.00,4.11
30.40,6.30,100.00,4.08
30.50,6.30,100.00,4.06
30.60,6.30,100.00,4.03
30.70,6.30,100.00,4.01
30.80,6.30,100.00,3.98
30.90,6.30,100.00,3.96
31.00,6.30,100.00,3.93
23.00,6.40,100.00,3.97
23.10,6.40,100.00,3.99
23.20,6.40,100.00,4.02
23.30,6.40,100.00,4.04
23.40,6.40,100.00,4.07
23.50,6.40,100.00,4.09
23.60,6.40,100.00,4.12
23.70,6.40,100.00,4.15
23.80,6.40,100.00,4.18
23.90,6.40,100.00,4.20
24.00,6.40,100.00,4.23
24.10,6.40,100.00,4.27
24.20,6.40,100.00,4.30
24.30,6.40,100.00,4.33
24.40,6.40,100.00,4.37
24.50,6.40,100.00,4.40
24.60,6.40,100.00,4.44
24.70,6.40,100.00,4.48
24.80,6.40,100.00,4.52
24.90,6.40,100.00,4.57
25.00,6.40,100.00,4.62
29.00,6.40,100.00,4.62
29.10,6.40,100.00,4.57
29.20,6.40,100.00,4.52
29.30,6.40,100.00,4.48
29.40,6.40,100.00,4.44
29.50,6.40,100.00,4.40
29.60,6.40,100.00,4.37
29.70,6.40,100.00,4.33
29.80,6.40,100.00,4.30
29.90,6.40,100.00,4.27
30.00,6.40,100.00,4.23
30.10,6.40,100.00,4.20
30.20,6.40,100.00,4.18
30.30,6.40,100.00,4.15
30.40,6.40,100.00,4.12
30.50,6.40,100.00,4.09
30.60,6.40,100.00,4.07
30.70,6.40,100.00,4.04
30.80,6.40,100.00,4.02
30.90,6.40,100.00,3.99
31.00,6.40,100.00,3.97
23.00,6.50,100.00,4.00
23.10,6.50,100.00,4.03
23.20,6.50,100.00,4.05
23.30,6.50,100.00,4.08
23.40,6.50,100.00,4.10
23.50,6.50,100.00,4.13
23.60,6.50,100.00,4.16
23.70,6.50,100.00,4.19
23.80,6.50,100.00,4.22
23.90,6.50,100.00,4.25
24.00,6.50,100.00,4.28
24.10,6.50,100.00,4.31
24.20,6.50,100.00,4.35
24.30,6.50,100.00,4.38
24.40,6.50,100.00,4.42
24.50,6.50,100.00,4.46
24.60,6.50,100.00,4.50
24.70,6.50,100.00,4.54
24.80,6.50,100.00,4.59
24.90,6.50,100.00,4.63
25.00,6.50,100.00,4.68
29.00,6.50,100.00,4.68
29.10,6.50,100.00,4.63
29.20,6.50,100.00,4.59
29.30,6.50,100.00,4.54
29.40,6.50,100.00,4.50
29.50,6.50,100.00,4.46
29.60,6.50,100.00,4.42
29.70,6.50,100.00,4.38
29.80,6.50,100.00,4.35
29.90,6.50,100.00,4.31
30.00,6.50,100.00,4.28
30.10,6.50,100.00,4.25
30.20,6.50,100.00,4.22
30.30,6.50,100.00,4.19
30.40,6.50,100.00,4.16
30.50,6.50,100.00,4.13
30.60,6.50,100.00,4.10
30.70,6.50,100.00,4.08
30.80,6.50,100.00,4.05
30.90,6.50,100.00,4.03
