Time,Temperatur,pH,Temperatur_Membership_Params,PH_Membership_Params,Temperatur_Memberships,PH_Memberships,Takaran_Membership_Params,Takaran_Memberships,Alpha_Predikats,a_values
2024-08-10 08:00,-,-,-,-,-,-,-,-,-,-
2024-08-10 18:00,25.13,6.84,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.0, 'normal': 1.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.9582}",{'Rule 2': 1.0},"[{'alpha_level': 1.0, 'a_values': [27.55, 29.0]}]"
2024-08-11 08:00,22.31,6.66,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [21.75, 24.65]}]"
2024-08-11 18:00,23.0,6.7,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [21.75, 24.65]}]"
2024-08-12 08:00,19.75,6.52,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [21.75, 24.65]}]"
2024-08-12 18:00,23.13,6.73,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.935, 'normal': 0.065, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}","{'Rule 2': 0.065, 'Rule 5': 0.935}","[{'alpha_level': 0.935, 'a_values': [21.66, 24.74]}, {'alpha_level': 0.065, 'a_values': [20.4, 29.0]}]"
2024-08-13 08:01,20.69,6.57,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [21.75, 24.65]}]"
2024-08-13 18:00,23.88,6.77,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.56, 'normal': 0.44, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}","{'Rule 2': 0.44, 'Rule 5': 0.56}","[{'alpha_level': 0.56, 'a_values': [21.11, 25.29]}, {'alpha_level': 0.44, 'a_values': [20.94, 25.46, 25.93, 29.0]}]"
2024-08-14 08:01,21.44,6.61,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [21.75, 24.65]}]"
2024-08-14 18:00,24.06,6.77,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.47, 'normal': 0.53, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 0.8096, 'banyak': 0.0952}","{'Rule 2': 0.53, 'Rule 5': 0.47}","[{'alpha_level': 0.53, 'a_values': [26.19, 29.0]}, {'alpha_level': 0.47, 'a_values': [20.98, 25.42, 26.01, 29.0]}]"
2024-08-15 08:00,21.19,6.57,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [21.75, 24.65]}]"
2024-08-15 18:00,23.19,6.72,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.905, 'normal': 0.095, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}","{'Rule 2': 0.095, 'Rule 5': 0.905}","[{'alpha_level': 0.905, 'a_values': [21.61, 24.79]}, {'alpha_level': 0.095, 'a_values': [20.44, 29.0]}]"
2024-08-16 08:00,20.31,6.55,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [21.75, 24.65]}]"
2024-08-16 17:14,25.38,6.79,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.0, 'normal': 1.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.9582}",{'Rule 2': 1.0},"[{'alpha_level': 1.0, 'a_values': [27.55, 29.0]}]"
2024-08-17 07:40,26.13,6.86,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.0, 'normal': 1.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [17.4, 17.4, 20.3, 21.75], 'sedang': [20.3, 21.75, 24.65, 26.1], 'banyak': [24.65, 27.55, 29.0, 29.0]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.9582}",{'Rule 2': 1.0},"[{'alpha_level': 1.0, 'a_values': [27.55, 29.0]}]"
2024-08-17 18:00,-,-,-,-,-,-,-,-,-,-
2024-08-19 08:00,24.88,6.82,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.06, 'normal': 0.94, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [18.27, 18.27, 21.315, 22.8375], 'sedang': [21.315, 22.8375, 25.8825, 27.405], 'banyak': [25.8825, 28.9275, 30.45, 30.45]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.8052}","{'Rule 2': 0.94, 'Rule 5': 0.06}","[{'alpha_level': 0.94, 'a_values': [28.75, 30.45]}, {'alpha_level': 0.06, 'a_values': [21.41, 30.45]}]"
2024-08-19 18:00,-,-,-,-,-,-,-,-,-,-
2024-08-22 08:00,-,-,-,-,-,-,-,-,-,-
2024-08-22 18:00,-,-,-,-,-,-,-,-,-,-
2024-08-24 08:00,-,-,-,-,-,-,-,-,-,-
2024-08-24 18:01,24.0,6.75,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.5, 'normal': 0.5, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.8858, 'banyak': 0.0571}","{'Rule 2': 0.5, 'Rule 5': 0.5}","[{'alpha_level': 0.5, 'a_values': [25.59, 30.89, 31.77, 35.3]}]"
2024-08-25 08:02,22.0,6.62,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-25 18:02,24.38,6.76,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.31, 'normal': 0.69, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.3586, 'banyak': 0.3207}","{'Rule 2': 0.69, 'Rule 5': 0.31}","[{'alpha_level': 0.69, 'a_values': [32.44, 35.3]}, {'alpha_level': 0.31, 'a_values': [25.26, 35.3]}]"
2024-08-26 08:01,22.94,6.66,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-26 18:00,25.19,6.79,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.0, 'normal': 1.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.9583}",{'Rule 2': 1.0},"[{'alpha_level': 1.0, 'a_values': [33.54, 35.3]}]"
2024-08-27 08:02,22.44,6.63,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-27 18:02,23.63,6.66,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.685, 'normal': 0.315, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}","{'Rule 2': 0.315, 'Rule 5': 0.685}","[{'alpha_level': 0.685, 'a_values': [25.92, 30.56]}, {'alpha_level': 0.315, 'a_values': [25.27, 35.3]}]"
2024-08-28 08:03,24.5,6.66,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.25, 'normal': 0.75, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.1616, 'banyak': 0.4192}","{'Rule 2': 0.75, 'Rule 5': 0.25}","[{'alpha_level': 0.75, 'a_values': [32.65, 35.3]}, {'alpha_level': 0.25, 'a_values': [25.15, 35.3]}]"
2024-08-28 18:04,25.0,6.76,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.0, 'normal': 1.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.9583}",{'Rule 2': 1.0},"[{'alpha_level': 1.0, 'a_values': [33.54, 35.3]}]"
2024-08-29 08:01,22.69,6.6,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-29 18:04,24.13,6.68,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.435, 'normal': 0.565, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.7179, 'banyak': 0.141}","{'Rule 2': 0.565, 'Rule 5': 0.435}","[{'alpha_level': 0.565, 'a_values': [32.0, 35.3]}, {'alpha_level': 0.435, 'a_values': [25.48, 31.0, 31.54, 35.3]}]"
2024-08-30 08:01,22.06,6.56,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
